WinEdt Shortcut List (Readonly)
===============================

Wednesday, November 30, 2016 at 9:57
Number of Shortcuts: 215

F12+Alt                &Search|&Delimiters|&Auto Check
F12+Ctrl               &Search|&Delimiters|&Delimiter Check
F12+Ctrl+Alt           &Search|&Delimiters|&Quick Check
F12+Shift              &Search|&Delimiters|&Slow Check
F12+Shift+Ctrl         &Search|&Delimiters|&Match Delimiter
'+Ctrl                 Popups|Acute
'+Shift+Ctrl           Popups|Umlaut
,+Ctrl                 &Window|MDI &Shortcuts|&Next Window
,+Shift+Ctrl           &Window|MDI &Shortcuts|&Previous Window
.+Alt                  &Macros|Play Macro &Once
.+Ctrl                 &Macros|Repeat &Last Command
.+Shift+Alt            &Macros|Play &Macro
0+Ctrl                 Bookmarks|GOTO 0
0+Shift+Ctrl           Bookmarks|Mark 0
1+Ctrl                 Bookmarks|GOTO 1
1+Shift+Ctrl           Bookmarks|Mark 1
2+Ctrl                 Bookmarks|GOTO 2
2+Shift+Ctrl           Bookmarks|Mark 2
3+Ctrl                 Bookmarks|GOTO 3
3+Shift+Ctrl           Bookmarks|Mark 3
4+Ctrl                 Bookmarks|GOTO 4
4+Shift+Ctrl           Bookmarks|Mark 4
5+Ctrl                 Bookmarks|GOTO 5
5+Shift+Ctrl           Bookmarks|Mark 5
6+Ctrl                 Bookmarks|GOTO 6
6+Shift+Ctrl           Bookmarks|Mark 6
7+Ctrl                 Bookmarks|GOTO 7
7+Shift+Ctrl           Bookmarks|Mark 7
8+Ctrl                 Bookmarks|GOTO 8
8+Shift+Ctrl           Bookmarks|Mark 8
9+Ctrl                 Bookmarks|GOTO 9
9+Shift+Ctrl           Bookmarks|Mark 9
;+Shift+Ctrl           Popups|Circumflex
=+Alt                  Popups|Bookmarks
=+Ctrl                 &View|Line &Numbers
=+Shift+Ctrl           &View|Toggle &View
A+Ctrl                 &Edit|&Select All
A+Shift+Ctrl           Te&X|&DVI|&AMSTeX
B+Alt                  Popups|BibTeX
B+Shift+Ctrl           Te&X|&BibTeX
C+Alt                  &Edit|&Append
C+Ctrl                 &Edit|Cop&y
C+Shift+Ctrl           &Accessories|&WinEdt Console...
D+Shift+Ctrl           Te&X|&DVI|&DVIPS
E+Ctrl                 &Search|&Errors...
E+Shift+Ctrl           &Search|&Hide Errors
F+Ctrl                 &Search|&Find...
F+Shift+Ctrl           &Search|Find in File&s...
G+Alt                  Popups|Greek
G+Ctrl                 &Search|&Go To Line...
G+Shift+Ctrl           Te&X|Make &Glossary
H+Ctrl                 &Document|&Get Folder...
H+Ctrl+Alt             &Document|&Home Folder
H+Shift+Ctrl           &Document|&Set Folder...
I+Ctrl                 &Search|&Incremental Search...
I+Shift+Ctrl           Te&X|Make &Index
K+Ctrl                 Shortcuts|Delete Line
K+Shift+Ctrl           Shortcuts|Clear Line
L+Ctrl                 &Document|&LOG File
